WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.155793,0.000000,0.000000
2,64,1.819418,8.779250,26.778871
4,64,0.712777,2.056128,13.033455
8,64,0.335365,12.431750,3.900994
16,64,0.218466,15.822872,1.845639
32,64,0.232126,16.034181,0.908094
64,64,0.428479,16.158033,0.723284
