WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.405586,92.427177,115.636258
2,64,1.804416,9.900000,32.568134
4,64,0.710705,2.900000,22.971639
8,64,0.341444,11.706956,5.495877
16,64,0.235366,14.596396,1.909922
32,64,0.249525,16.048717,0.401560
64,64,5.092890,16.230066,1.653874
