WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.337931,38.114901,193.969985
2,64,1.541797,15.423422,47.473522
4,64,0.572866,11.350420,44.350493
8,64,0.223159,1.975432,15.359269
16,64,0.105886,6.477785,3.980174
32,64,0.054870,11.996239,2.711600
64,64,0.038246,7.755480,2.317579
