WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,1.069795,25.272541,9.452808
2,64,0.692250,24.267719,7.716740
4,64,0.442216,24.792089,9.442904
8,64,0.353851,25.418230,8.238159
16,64,0.332344,24.868023,9.379535
32,64,0.390737,25.822954,7.103219
64,64,0.478028,25.177276,10.513496
