WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,1.108083,65.977111,388.407783
2,64,1.505355,10.187761,30.116979
4,64,0.610007,2.136053,10.358489
8,64,0.297079,8.766415,2.620534
16,64,0.211376,13.931530,3.358189
32,64,0.201041,16.244725,0.751179
64,64,0.408471,16.204378,0.458938
