WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,4.135163,57.839437,196.830691
2,64,1.388956,17.023483,66.204558
4,64,0.472329,11.480278,8.248594
8,64,0.189383,12.533822,3.326318
16,64,0.084841,11.470501,2.526520
32,64,0.041871,10.486551,1.647831
64,64,0.025469,7.548942,0.442480
