WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.732722,0.130357,0.112563
2,64,2.094631,0.110162,0.085134
4,64,0.873535,0.165946,0.118390
8,64,0.402125,0.218863,0.134529
16,64,0.199518,0.380009,0.389608
32,64,0.097610,0.083006,0.037175
64,64,0.053201,0.289663,0.083666
