WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,2.509829,0.015122,0.099276
2,64,2.180142,0.082418,0.159353
4,64,1.027503,0.710548,0.933169
8,64,0.409508,1.185923,0.105177
16,64,0.214604,1.191059,0.087092
32,64,0.121584,3.666366,2.103120
64,64,0.069421,4.654848,0.985440
