WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.403434,3.041375,1.895524
2,64,1.974976,17.000423,20.922368
4,64,0.813363,19.410711,1.049376
8,64,0.360965,18.265054,4.025783
16,64,0.178844,9.483897,39.167586
32,64,0.088300,0.164627,1.489260
64,64,0.047842,18.954131,0.143302
