WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.855461,14.961640,35.655559
2,64,2.065705,19.594760,0.365791
4,64,0.905339,2.831967,1.083400
8,64,0.342828,0.018847,0.005238
16,64,0.162054,19.589312,0.416566
32,64,0.083827,1.968830,20.785728
64,64,0.041247,18.744186,0.822734
