WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,2.494544,153.424409,79.222830
2,64,1.311241,151.208835,75.434168
4,64,0.784422,145.428918,75.375764
8,64,0.508058,146.522102,76.623613
16,64,0.462116,152.445292,56.368322
32,64,0.400951,151.535815,68.908481
64,64,0.435543,148.521934,48.433481
