WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,2.495224,50.489894,57.488397
2,64,1.422856,47.445356,48.622653
4,64,0.935145,49.382588,54.761762
8,64,0.764830,53.488386,71.086741
16,64,0.788448,46.627446,44.347789
32,64,0.741383,50.733585,49.507628
64,64,0.863816,50.116530,58.951553
