WORLD_SIZE,FISHES_COUNT,ELAPSED_TIME,MEAN,SD
1,64,5.087379,6.090912,28.217087
2,64,1.912369,0.027574,0.058915
4,64,0.767701,0.038071,0.050787
8,64,0.341731,0.064616,0.040234
16,64,0.160669,0.113695,0.139259
32,64,0.080630,4.466297,8.042010
64,64,0.048299,11.712631,3.509558
